Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_000.mtx 1 9735.85 6.47896 61.955 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.1 9286.29 5.82663 56.853 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.2 8939.49 5.19497 51.593 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.3 8584.7 4.58478 46.389 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.4 8153.92 4.01134 41.239 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.5 7619.39 3.47715 36.319 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.6 6940.14 2.99057 31.671 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.7 6303.81 2.53743 27.275 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.8 5802.83 2.13236 23.219 
../gentests/ComparableTest/b5_10_0000_000.mtx 1.9 5433.45 1.76109 19.406 
../gentests/ComparableTest/b5_10_0000_000.mtx 2 5164.18 1.43381 16.017 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.1 4914.59 1.15914 13.085 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.2 4670.92 0.931189 10.658 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.3 4466.65 0.73641 8.561 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.4 4237.22 0.5719 6.719 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.5 4039.97 0.441379 5.248 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.6 3854.94 0.335563 4.03 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.7 3652.56 0.245326 2.99 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.8 3460.02 0.181974 2.238 
../gentests/ComparableTest/b5_10_0000_000.mtx 2.9 3227.45 0.135421 1.678 
../gentests/ComparableTest/b5_10_0000_000.mtx 3 2993.79 0.0985632 1.245 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.1 2737.47 0.0725368 0.901 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.2 2490.79 0.0526 0.665 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.3 2232.25 0.034 0.46 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.4 1979.03 0.0241158 0.328 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.5 1726.22 0.0164263 0.219 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.6 1541.3 0.0110684 0.158 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.7 1373.82 0.00773158 0.114 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.8 1215.94 0.00455789 0.068 
../gentests/ComparableTest/b5_10_0000_000.mtx 3.9 1096.03 0.00303684 0.045 
../gentests/ComparableTest/b5_10_0000_000.mtx 4 1002.6 0.00152105 0.028 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.1 931.907 0.00126842 0.022 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.2 862.783 0.0009 0.014 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.3 803.645 0.000468421 0.007 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.4 762.894 0.000289474 0.005 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.5 723.105 0.000268421 0.004 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.6 693.112 0.000247368 0.003 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.7 667.335 3.68421e-05 0.001 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.8 639.822 0 0 
../gentests/ComparableTest/b5_10_0000_000.mtx 4.9 616.927 5.78947e-05 0.001 
../gentests/ComparableTest/b5_10_0000_000.mtx 5 594.422 0 0 
../gentests/ComparableTest/b5_10_0000_001.mtx 1 9818.73 6.47427 62.688 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.1 9395.41 5.83742 57.696 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.2 9044.51 5.23363 52.724 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.3 8712.43 4.64076 47.707 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.4 8347.68 4.08127 42.738 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.5 7851.11 3.55782 37.819 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.6 7258.09 3.07487 33.168 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.7 6604.77 2.62663 28.85 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.8 6042.81 2.22044 24.753 
../gentests/ComparableTest/b5_10_0000_001.mtx 1.9 5656.45 1.85426 21.039 
../gentests/ComparableTest/b5_10_0000_001.mtx 2 5342.07 1.53914 17.671 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.1 5093.82 1.25818 14.654 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.2 4849.99 1.02463 12.057 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.3 4594.86 0.822337 9.81 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.4 4410.29 0.651437 7.904 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.5 4201.84 0.509632 6.263 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.6 4006.15 0.399984 4.954 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.7 3834.85 0.313679 3.957 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.8 3666.21 0.239353 3.064 
../gentests/ComparableTest/b5_10_0000_001.mtx 2.9 3487.64 0.178158 2.37 
../gentests/ComparableTest/b5_10_0000_001.mtx 3 3281.8 0.133947 1.803 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.1 3081.14 0.0987421 1.349 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.2 2834.34 0.072979 0.981 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.3 2594.93 0.0538053 0.737 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.4 2340.32 0.0365263 0.535 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.5 2102.41 0.0273263 0.38 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.6 1873.29 0.0188789 0.268 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.7 1667.59 0.0134789 0.199 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.8 1489.98 0.0102053 0.143 
../gentests/ComparableTest/b5_10_0000_001.mtx 3.9 1342.65 0.00667895 0.096 
../gentests/ComparableTest/b5_10_0000_001.mtx 4 1190.58 0.00448947 0.06 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.1 1094.92 0.00274737 0.047 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.2 991.952 0.00214211 0.032 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.3 918.959 0.0014 0.023 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.4 849.297 0.000615789 0.011 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.5 801.925 0.000510526 0.01 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.6 753.415 0.000457895 0.005 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.7 715.632 0.0002 0.006 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.8 681.143 0.000131579 0.003 
../gentests/ComparableTest/b5_10_0000_001.mtx 4.9 652.916 0.000142105 0.002 
../gentests/ComparableTest/b5_10_0000_001.mtx 5 626.13 1.05263e-05 0.001 
../gentests/ComparableTest/b5_10_0000_002.mtx 1 9738.63 6.41842 61.851 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.1 9343.75 5.78101 56.922 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.2 8992.14 5.15902 51.741 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.3 8640.8 4.57499 46.697 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.4 8247.73 4.01175 41.699 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.5 7748.87 3.47999 36.851 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.6 7120.07 2.99097 32.15 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.7 6471.87 2.54763 27.815 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.8 5946.17 2.14518 23.734 
../gentests/ComparableTest/b5_10_0000_002.mtx 1.9 5558.21 1.78032 20.021 
../gentests/ComparableTest/b5_10_0000_002.mtx 2 5260.85 1.47149 16.781 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.1 5013.51 1.20063 13.907 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.2 4790.75 0.9676 11.307 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.3 4548.31 0.769332 9.105 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.4 4348.86 0.606889 7.289 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.5 4150.16 0.473289 5.766 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.6 3946.84 0.366195 4.518 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.7 3780.95 0.276563 3.414 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.8 3589.25 0.208426 2.66 
../gentests/ComparableTest/b5_10_0000_002.mtx 2.9 3382.23 0.158353 2.038 
../gentests/ComparableTest/b5_10_0000_002.mtx 3 3180.57 0.114853 1.503 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.1 2977.11 0.0851947 1.156 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.2 2703.3 0.0618 0.839 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.3 2452.77 0.0447789 0.618 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.4 2203.66 0.0322632 0.452 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.5 1976.97 0.0230842 0.332 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.6 1762.22 0.0169632 0.239 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.7 1577.91 0.0117053 0.176 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.8 1418.69 0.00840526 0.123 
../gentests/ComparableTest/b5_10_0000_002.mtx 3.9 1280.6 0.00620526 0.095 
../gentests/ComparableTest/b5_10_0000_002.mtx 4 1166.34 0.00448421 0.068 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.1 1066.64 0.00349474 0.05 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.2 978.481 0.00181053 0.031 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.3 914.709 0.00199474 0.03 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.4 850.866 0.00103158 0.017 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.5 790.558 0.000705263 0.011 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.6 750.447 0.000794737 0.011 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.7 717.827 0.000342105 0.007 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.8 687.288 0.000184211 0.004 
../gentests/ComparableTest/b5_10_0000_002.mtx 4.9 652.384 2.63158e-05 0.001 
../gentests/ComparableTest/b5_10_0000_002.mtx 5 624.665 3.68421e-05 0.001 
../gentests/ComparableTest/b5_10_0000_003.mtx 1 9796.33 6.36779 61.297 
../gentests/ComparableTest/b5_10_0000_003.mtx 1.1 9371.37 5.7387 56.353 
