Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1 9838.89 6.50977 62.206 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.1 9296.63 5.86256 57.128 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.2 8958.91 5.22761 51.959 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.3 8599.48 4.62611 46.723 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.4 8189.38 4.05787 41.659 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.5 7664.9 3.51729 36.756 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.6 6999.75 3.01361 31.94 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.7 6357.31 2.56556 27.532 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.8 5846.14 2.15745 23.476 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 1.9 5490.02 1.78566 19.748 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2 5203.07 1.47598 16.485 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.1 4939.8 1.19098 13.487 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.2 4695.73 0.955142 10.971 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.3 4475.93 0.759816 8.831 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.4 4284.1 0.592821 6.914 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.5 4061.1 0.456642 5.367 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.6 3874.77 0.351584 4.229 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.7 3686.48 0.264632 3.235 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.8 3490.21 0.198995 2.44 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 2.9 3283.03 0.145542 1.787 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3 3048.99 0.105411 1.335 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.1 2808.12 0.0758842 0.977 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.2 2530.87 0.0543158 0.699 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.3 2256.88 0.0389211 0.502 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.4 2006.13 0.0268684 0.367 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.5 1758.5 0.0177789 0.237 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.6 1576.09 0.0122 0.166 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.7 1410.35 0.00831579 0.127 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.8 1277.81 0.00644211 0.094 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 3.9 1144.29 0.00368421 0.06 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4 1045.53 0.00332632 0.05 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.1 956.939 0.00182105 0.03 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.2 886.977 0.00138421 0.02 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.3 833.162 0.00161579 0.02 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.4 777.888 0.000247368 0.007 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.5 743.414 0.000421053 0.007 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.6 713.372 0.000226316 0.006 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.7 679.663 0.000215789 0.002 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.8 651.599 7.89474e-05 0.002 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 4.9 622.589 6.84211e-05 0.001 
../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 5 598.626 0.000105263 0.001 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1 9710.57 6.51651 62.194 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.1 9309.83 5.88366 57.239 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.2 8974.55 5.25138 52.046 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.3 8619 4.64926 46.99 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.4 8209.14 4.07037 41.887 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.5 7695.81 3.54352 37.02 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.6 7036.89 3.03197 32.148 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.7 6378.56 2.56788 27.595 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.8 5865.58 2.15521 23.451 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 1.9 5474.7 1.78556 19.673 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2 5192.74 1.46504 16.363 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.1 4933.63 1.18883 13.457 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.2 4706.79 0.950753 10.88 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.3 4470 0.752021 8.763 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.4 4270.96 0.594874 6.982 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.5 4076.82 0.455521 5.425 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.6 3873.74 0.350626 4.199 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.7 3693.22 0.262595 3.205 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.8 3473.61 0.195542 2.414 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 2.9 3272.14 0.146463 1.82 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 3 3052.36 0.106189 1.354 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 3.1 2761.9 0.0742526 0.953 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 3.2 2498.91 0.0545947 0.71 
../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 3.3 2258.98 0.0386947 0.513 
