Results
Filename spectrum1 spectrum2 spectrum3 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_000.mtx 6:16 8:164 10:1654 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_001.mtx 6:16 8:174 10:1664 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_002.mtx 6:16 8:176 10:1698 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_003.mtx 6:16 8:192 10:1710 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_004.mtx 6:16 8:196 10:1710 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_005.mtx 6:20 8:196 10:1732 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_006.mtx 6:20 8:196 10:1792 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_007.mtx 6:20 8:196 10:1834 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_008.mtx 6:24 8:202 10:1874 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_009.mtx 6:24 8:202 10:1882 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_010.mtx 6:24 8:206 10:1930 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_011.mtx 6:30 8:208 10:1944 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_012.mtx 6:30 8:210 10:1964 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest6Higher/b5_10_0000_013.mtx 6:34 8:228 10:2062 
