Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_00.mtx 1 55.863 6.51316 65 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.1 50.0004 5.87105 59.5 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.2 49.093 5.15789 55 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.3 48.7103 4.67368 50 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.4 57.5149 4.0386 44.3333 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.5 56.0413 3.5193 41.3333 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.6 53.542 3.0193 35.6667 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.7 59.1971 2.78947 32.75 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.8 54.7096 2.33158 27.75 
../gentests/ComparableTest/b5_10_0000_00.mtx 1.9 56.038 1.82737 22.6 
../gentests/ComparableTest/b5_10_0000_00.mtx 2 60.1018 1.48684 17.3333 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.1 61.8002 1.24887 14.2857 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.2 72.1316 0.922222 11.5556 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.3 77.5415 0.836364 9.90909 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.4 81.5021 0.707018 8.33333 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.5 102.579 0.510234 5.77778 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.6 116.226 0.387081 4.54545 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.7 129.495 0.297166 3.88462 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.8 154.993 0.214766 2.77778 
../gentests/ComparableTest/b5_10_0000_00.mtx 2.9 184.904 0.153216 2.22222 
../gentests/ComparableTest/b5_10_0000_00.mtx 3 195.496 0.137048 1.96078 
../gentests/ComparableTest/b5_10_0000_00.mtx 3.1 238.713 0.0956795 1.50746 
../gentests/ComparableTest/b5_10_0000_00.mtx 3.2 282.413 0.0809211 1.14773 
../gentests/ComparableTest/b5_10_0000_00.mtx 3.3 322.931 0.0599522 0.918182 
../gentests/ComparableTest/b5_10_0000_00.mtx 3.4 403.27 0.0394909 0.653595 
../gentests/ComparableTest/b5_10_0000_00.mtx 3.5 514.419 0.0263857 0.442478 
