Results
Filename spectrum1 spectrum2 spectrum3 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_000.mtx 6:18 8:180 10:1678 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_001.mtx 4:2 6:20 8:186 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_002.mtx 4:2 6:20 8:192 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_003.mtx 4:2 6:22 8:204 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_004.mtx 4:2 6:22 8:212 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_005.mtx 4:4 6:26 8:216 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_006.mtx 4:4 6:26 8:226 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_007.mtx 4:6 6:26 8:240 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_008.mtx 4:6 6:26 8:248 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_009.mtx 4:6 6:28 8:252 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_010.mtx 4:6 6:28 8:266 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_011.mtx 4:6 6:30 8:284 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_012.mtx 4:8 6:30 8:296 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_013.mtx 4:8 6:30 8:296 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_014.mtx 4:8 6:40 8:316 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_015.mtx 4:8 6:44 8:326 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_016.mtx 4:12 6:44 8:336 
/Users/antonkov/masterWork/spectrumSources/../gentests/ComparableTest/b5_10_0000_017.mtx 4:14 6:56 8:372 
