Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/467.mtx 4:44 6:120 8:1438 10:9336 12:85956 14:703600 16:6297391 18:55345984 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/907.mtx 4:43 6:143 8:1476 10:9353 12:85752 14:703010 16:6300196 18:55324112 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/022.mtx 4:43 6:112 8:1427 10:9464 12:85871 14:703696 16:6301443 18:55332136 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/426.mtx 4:34 6:135 8:1468 10:9256 12:86110 14:703450 16:6299849 18:55342003 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/012.mtx 4:40 6:114 8:1444 10:9396 12:86231 14:703750 16:6298583 18:55331376 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/632.mtx 4:31 6:130 8:1479 10:9406 12:86158 14:702062 16:6300760 18:55337890 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/227.mtx 4:38 6:131 8:1434 10:9344 12:86112 14:702810 16:6301069 18:55339879 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/899.mtx 4:49 6:126 8:1426 10:9526 12:85828 14:701930 16:6300198 18:55331266 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/705.mtx 4:41 6:113 8:1467 10:9265 12:86381 14:703626 16:6298301 18:55335270 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/668.mtx 4:40 6:117 8:1475 10:9294 12:86053 14:703310 16:6300238 18:55341153 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/087.mtx 4:39 6:141 8:1448 10:9235 12:86089 14:702868 16:6297867 18:55341600 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/640.mtx 4:43 6:112 8:1439 10:9328 12:86113 14:705064 16:6297667 18:55330384 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/998.mtx 4:42 6:130 8:1447 10:9348 12:85911 14:702350 16:6299361 18:55341592 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/948.mtx 4:47 6:115 8:1398 10:9345 12:86290 14:703434 16:6300282 18:55342452 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/608.mtx 4:42 6:128 8:1461 10:9264 12:85814 14:703696 16:6299338 18:55337088 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/863.mtx 4:44 6:120 8:1430 10:9380 12:85914 14:703168 16:6300265 18:55338856 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/927.mtx 4:39 6:128 8:1433 10:9308 12:86169 14:703644 16:6300143 18:55338276 
