Results
Filename Time(ms) BER% FER%
../gentests/MarkMtx5/b5_10_0000_000.mtx 404.94 0.172158 2.43 
../gentests/MarkMtx5/b5_10_0000_001.mtx 339.161 0.133842 1.73 
../gentests/MarkMtx5/b5_10_0000_002.mtx 369.98 0.144579 2.08 
../gentests/MarkMtx5/b5_10_0000_003.mtx 354.637 0.123737 1.66 
../gentests/MarkMtx5/b5_10_0000_004.mtx 332.283 0.104053 1.41 
../gentests/MarkMtx5/b5_10_0000_005.mtx 363.758 0.158316 2.11 
../gentests/MarkMtx5/b5_10_0000_006.mtx 318.671 0.0985263 1.2 
../gentests/MarkMtx5/b5_10_0000_007.mtx 374.849 0.147316 2.14 
../gentests/MarkMtx5/b5_10_0000_008.mtx 392.894 0.231579 3.58 
../gentests/MarkMtx5/b5_10_0000_009.mtx 349.525 0.117737 1.6 
../gentests/MarkMtx5/b5_10_0000_010.mtx 390.874 0.197368 2.81 
../gentests/MarkMtx5/b5_10_0000_011.mtx 355.691 0.135263 1.93 
../gentests/MarkMtx5/b5_10_0000_012.mtx 320.307 0.0903158 1.12 
../gentests/MarkMtx5/b5_10_0000_013.mtx 324.835 0.106 1.28 
../gentests/MarkMtx5/b5_10_0000_014.mtx 344.458 0.124789 1.62 
../gentests/MarkMtx5/b5_10_0000_015.mtx 340.188 0.118526 1.52 
../gentests/MarkMtx5/b5_10_0000_016.mtx 358.318 0.138053 1.91 
../gentests/MarkMtx5/b5_10_0000_017.mtx 363.284 0.143 2.07 
../gentests/MarkMtx5/b5_10_0000_018.mtx 383.802 0.148 2.76 
../gentests/MarkMtx5/b5_10_0000_019.mtx 358.952 0.136474 1.76 
../gentests/MarkMtx5/b5_10_0000_020.mtx 338.394 0.102737 1.3 
../gentests/MarkMtx5/b5_10_0000_021.mtx 357.481 0.139895 1.89 
../gentests/MarkMtx5/b5_10_0000_022.mtx 341.405 0.115842 1.51 
../gentests/MarkMtx5/b5_10_0000_023.mtx 371.542 0.137579 2.07 
../gentests/MarkMtx5/b5_10_0000_024.mtx 341.486 0.0953158 1.26 
../gentests/MarkMtx5/b5_10_0000_025.mtx 352.417 0.138 1.75 
../gentests/MarkMtx5/b5_10_0000_026.mtx 378.708 0.151684 2.42 
../gentests/MarkMtx5/b5_10_0000_027.mtx 336.85 0.118316 1.46 
../gentests/MarkMtx5/b5_10_0000_028.mtx 349.447 0.126895 1.72 
../gentests/MarkMtx5/b5_10_0000_029.mtx 330.716 0.0949474 1.28 
../gentests/MarkMtx5/b5_10_0000_030.mtx 361.778 0.147421 1.86 
../gentests/MarkMtx5/b5_10_0000_031.mtx 332.305 0.105368 1.41 
../gentests/MarkMtx5/b5_10_0000_032.mtx 350.823 0.135632 1.75 
../gentests/MarkMtx5/b5_10_0000_033.mtx 356.528 0.125211 1.77 
../gentests/MarkMtx5/b5_10_0000_034.mtx 333.159 0.107 1.43 
../gentests/MarkMtx5/b5_10_0000_035.mtx 353.446 0.119947 1.61 
../gentests/MarkMtx5/b5_10_0000_036.mtx 441.223 0.289105 7.56 
../gentests/MarkMtx5/b5_10_0000_037.mtx 364.405 0.155789 2.1 
../gentests/MarkMtx5/b5_10_0000_038.mtx 365.117 0.144474 2.13 
../gentests/MarkMtx5/b5_10_0000_039.mtx 334.842 0.122105 1.54 
../gentests/MarkMtx5/b5_10_0000_040.mtx 411.826 0.261368 4.32 
../gentests/MarkMtx5/b5_10_0000_041.mtx 366.353 0.149 1.93 
../gentests/MarkMtx5/b5_10_0000_042.mtx 347.231 0.118158 1.61 
../gentests/MarkMtx5/b5_10_0000_043.mtx 344.515 0.122684 1.57 
../gentests/MarkMtx5/b5_10_0000_044.mtx 370.079 0.149316 2.19 
../gentests/MarkMtx5/b5_10_0000_045.mtx 326.412 0.0866842 1.22 
../gentests/MarkMtx5/b5_10_0000_046.mtx 390.257 0.175105 2.84 
../gentests/MarkMtx5/b5_10_0000_047.mtx 399.474 0.214263 3.64 
../gentests/MarkMtx5/b5_10_0000_048.mtx 314.568 0.0806842 1.08 
../gentests/MarkMtx5/b5_10_0000_049.mtx 419.538 0.288421 4.67 
../gentests/MarkMtx5/b5_10_0000_050.mtx 320.963 0.102263 1.22 
../gentests/MarkMtx5/b5_10_0000_051.mtx 386.264 0.200737 2.87 
../gentests/MarkMtx5/b5_10_0000_052.mtx 347.421 0.117263 1.52 
../gentests/MarkMtx5/b5_10_0000_053.mtx 406.545 0.245158 4 
../gentests/MarkMtx5/b5_10_0000_054.mtx 328.321 0.103947 1.31 
../gentests/MarkMtx5/b5_10_0000_055.mtx 317.208 0.109684 1.26 
../gentests/MarkMtx5/b5_10_0000_056.mtx 356.082 0.136684 1.86 
../gentests/MarkMtx5/b5_10_0000_057.mtx 431 0.308632 4.95 
../gentests/MarkMtx5/b5_10_0000_058.mtx 362.053 0.139842 1.91 
../gentests/MarkMtx5/b5_10_0000_059.mtx 336.509 0.108737 1.41 
../gentests/MarkMtx5/b5_10_0000_060.mtx 399.69 0.185579 3.47 
../gentests/MarkMtx5/b5_10_0000_061.mtx 339.681 0.111789 1.46 
../gentests/MarkMtx5/b5_10_0000_062.mtx 372.41 0.155158 2.25 
../gentests/MarkMtx5/b5_10_0000_063.mtx 376.679 0.187158 2.79 
../gentests/MarkMtx5/b5_10_0000_064.mtx 315.547 0.0985263 1.11 
../gentests/MarkMtx5/b5_10_0000_065.mtx 334.083 0.112947 1.5 
../gentests/MarkMtx5/b5_10_0000_066.mtx 319.458 0.0975263 1.16 
../gentests/MarkMtx5/b5_10_0000_067.mtx 362.259 0.126211 1.88 
../gentests/MarkMtx5/b5_10_0000_068.mtx 329.859 0.0974737 1.19 
../gentests/MarkMtx5/b5_10_0000_069.mtx 322.336 0.0956842 1.22 
../gentests/MarkMtx5/b5_10_0000_070.mtx 360.433 0.136158 1.98 
../gentests/MarkMtx5/b5_10_0000_071.mtx 376.923 0.192737 2.83 
../gentests/MarkMtx5/b5_10_0000_072.mtx 372.473 0.158684 2.28 
../gentests/MarkMtx5/b5_10_0000_073.mtx 327.884 0.102316 1.27 
../gentests/MarkMtx5/b5_10_0000_074.mtx 335.979 0.104316 1.29 
../gentests/MarkMtx5/b5_10_0000_075.mtx 335.468 0.102 1.31 
../gentests/MarkMtx5/b5_10_0000_076.mtx 345.219 0.109947 1.46 
../gentests/MarkMtx5/b5_10_0000_077.mtx 371.351 0.159895 2.12 
../gentests/MarkMtx5/b5_10_0000_078.mtx 399.561 0.211632 3.25 
../gentests/MarkMtx5/b5_10_0000_079.mtx 339.568 0.126211 1.6 
../gentests/MarkMtx5/b5_10_0000_080.mtx 360.411 0.144842 1.97 
../gentests/MarkMtx5/b5_10_0000_081.mtx 328.994 0.107737 1.31 
../gentests/MarkMtx5/b5_10_0000_082.mtx 350.183 0.121421 1.59 
../gentests/MarkMtx5/b5_10_0000_083.mtx 335.972 0.101053 1.35 
../gentests/MarkMtx5/b5_10_0000_084.mtx 776.961 1.01737 40.8 
../gentests/MarkMtx5/b5_10_0000_085.mtx 355.52 0.126789 1.85 
../gentests/MarkMtx5/b5_10_0000_086.mtx 326.919 0.109474 1.46 
../gentests/MarkMtx5/b5_10_0000_087.mtx 365.234 0.148737 2.02 
../gentests/MarkMtx5/b5_10_0000_088.mtx 332.582 0.104158 1.34 
../gentests/MarkMtx5/b5_10_0000_089.mtx 371.437 0.164947 2.16 
../gentests/MarkMtx5/b5_10_0000_090.mtx 367.914 0.139737 1.95 
../gentests/MarkMtx5/b5_10_0000_091.mtx 416.847 0.258 4.26 
../gentests/MarkMtx5/b5_10_0000_092.mtx 333.676 0.100421 1.36 
../gentests/MarkMtx5/b5_10_0000_093.mtx 327.403 0.116579 1.54 
../gentests/MarkMtx5/b5_10_0000_094.mtx 324.405 0.0884737 1.16 
../gentests/MarkMtx5/b5_10_0000_095.mtx 366.846 0.131737 1.88 
../gentests/MarkMtx5/b5_10_0000_096.mtx 337.898 0.0991579 1.38 
../gentests/MarkMtx5/b5_10_0000_097.mtx 307.699 0.0966842 1.13 
../gentests/MarkMtx5/b5_10_0000_098.mtx 787.228 1.08337 41.11 
../gentests/MarkMtx5/b5_10_0000_099.mtx 354.121 0.107211 1.59 
../gentests/MarkMtx5/b5_10_0001_000.mtx 354.528 0.133 1.7 
../gentests/MarkMtx5/b5_10_0001_001.mtx 333.505 0.106053 1.34 
../gentests/MarkMtx5/b5_10_0001_002.mtx 343.543 0.133526 1.76 
../gentests/MarkMtx5/b5_10_0001_003.mtx 344.305 0.105211 1.49 
../gentests/MarkMtx5/b5_10_0001_004.mtx 372.54 0.139158 2.09 
../gentests/MarkMtx5/b5_10_0001_005.mtx 393.528 0.196526 3.18 
../gentests/MarkMtx5/b5_10_0001_006.mtx 351.959 0.119105 1.61 
../gentests/MarkMtx5/b5_10_0001_007.mtx 383.651 0.185526 2.65 
../gentests/MarkMtx5/b5_10_0001_008.mtx 461.912 0.277105 7.46 
../gentests/MarkMtx5/b5_10_0001_009.mtx 388.46 0.189579 3.03 
../gentests/MarkMtx5/b5_10_0001_010.mtx 378.406 0.178211 2.68 
../gentests/MarkMtx5/b5_10_0001_011.mtx 371.429 0.150158 2.03 
../gentests/MarkMtx5/b5_10_0001_012.mtx 343.189 0.127421 1.57 
../gentests/MarkMtx5/b5_10_0001_013.mtx 346.409 0.112895 1.58 
../gentests/MarkMtx5/b5_10_0001_014.mtx 355.524 0.137895 2 
../gentests/MarkMtx5/b5_10_0001_015.mtx 415.678 0.255737 3.98 
../gentests/MarkMtx5/b5_10_0001_016.mtx 339.724 0.0954211 1.39 
../gentests/MarkMtx5/b5_10_0001_017.mtx 339.615 0.121737 1.53 
