Results
Filename spectrum1 spectrum2 spectrum3 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_836.mtx 6:14 8:77 10:670 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_033.mtx 6:6 8:74 10:734 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_823.mtx 6:10 8:70 10:646 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_087.mtx 6:12 8:64 10:696 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_651.mtx 6:11 8:90 10:647 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_990.mtx 6:15 8:83 10:704 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_547.mtx 6:8 8:77 10:674 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_390.mtx 6:8 8:87 10:660 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_123.mtx 6:9 8:80 10:683 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_842.mtx 6:8 8:76 10:688 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_101.mtx 6:12 8:79 10:666 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_521.mtx 6:7 8:80 10:677 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_181.mtx 6:5 8:77 10:714 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_531.mtx 6:15 8:70 10:673 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_602.mtx 6:17 8:79 10:670 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_387.mtx 6:13 8:90 10:713 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_445.mtx 6:9 8:94 10:785 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_903.mtx 6:7 8:81 10:691 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_986.mtx 6:13 8:75 10:693 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_508.mtx 6:6 8:82 10:715 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_907.mtx 6:9 8:69 10:704 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_881.mtx 6:12 8:73 10:670 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_165.mtx 6:9 8:81 10:673 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_428.mtx 6:12 8:71 10:687 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_674.mtx 6:7 8:82 10:721 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_272.mtx 6:9 8:77 10:721 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_310.mtx 6:9 8:70 10:681 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_057.mtx 6:13 8:85 10:679 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_655.mtx 6:6 8:87 10:687 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_696.mtx 6:7 8:71 10:738 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_435.mtx 6:11 8:77 10:697 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_641.mtx 6:6 8:85 10:672 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_301.mtx 6:15 8:86 10:771 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_492.mtx 6:10 8:75 10:662 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_441.mtx 6:11 8:77 10:680 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_525.mtx 6:5 8:79 10:759 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_153.mtx 6:7 8:94 10:659 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_287.mtx 6:7 8:84 10:677 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_128.mtx 6:7 8:85 10:686 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_753.mtx 6:10 8:73 10:703 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_666.mtx 6:12 8:78 10:696 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5AtLeast6_19/b5_10_0019_096.mtx 6:9 8:86 10:705 
