Results
Filename SNR Time(ms) BER% FER%
../gentests/RandomBase5AtLeast6_19/b5_10_0019_000.mtx 3 360.688 0.104579 1.38 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_001.mtx 3 333.878 0.138842 1.75 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_002.mtx 3 309.005 0.0983684 1.21 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_003.mtx 3 319.443 0.0901579 1.21 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_004.mtx 3 319.704 0.0932105 1.28 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_005.mtx 3 325.474 0.0991579 1.23 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_006.mtx 3 322.86 0.098 1.3 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_007.mtx 3 313.699 0.0826842 1.12 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_008.mtx 3 328.859 0.100421 1.28 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_009.mtx 3 332.914 0.0927368 1.26 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_010.mtx 3 317.651 0.0931053 1.12 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_011.mtx 3 334.477 0.0996316 1.36 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_012.mtx 3 326.816 0.100053 1.31 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_013.mtx 3 329.399 0.0947895 1.32 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_014.mtx 3 325.869 0.0854211 1.22 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_015.mtx 3 319.685 0.0916842 1.2 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_016.mtx 3 313.935 0.0968421 1.2 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_017.mtx 3 348.076 0.128526 1.74 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_018.mtx 3 329.151 0.106632 1.38 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_019.mtx 3 334.04 0.110474 1.44 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_020.mtx 3 337.313 0.115789 1.59 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_021.mtx 3 327.436 0.0974211 1.21 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_022.mtx 3 322.002 0.0992105 1.23 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_023.mtx 3 315.687 0.0949474 1.11 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_024.mtx 3 324.192 0.108158 1.35 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_025.mtx 3 317.477 0.106053 1.23 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_026.mtx 3 337.895 0.104316 1.37 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_027.mtx 3 331.884 0.0954211 1.34 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_028.mtx 3 319.548 0.0987895 1.32 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_029.mtx 3 334.52 0.111632 1.43 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_030.mtx 3 319.923 0.0970526 1.31 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_031.mtx 3 312.002 0.1 1.17 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_032.mtx 3 311.349 0.0882632 1.06 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_033.mtx 3 321.434 0.0935789 1.17 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_034.mtx 3 320.467 0.0837368 1.08 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_035.mtx 3 317.372 0.108368 1.28 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_036.mtx 3 324.715 0.106526 1.28 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_037.mtx 3 316.513 0.0895263 1.14 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_038.mtx 3 323.204 0.0907895 1.2 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_039.mtx 3 329.784 0.104842 1.38 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_040.mtx 3 311.568 0.0898947 1.08 
../gentests/RandomBase5AtLeast6_19/b5_10_0019_041.mtx 3 306.533 0.0874211 1.08 
