Results
Filename SNR Time(ms) BER% FER%
../gentests/RandomBase5_19/b5_10_0019_000.mtx 3 179.565 0.206192 2.97059 
../gentests/RandomBase5_19/b5_10_0019_001.mtx 3 260.877 0.105768 1.38356 
../gentests/RandomBase5_19/b5_10_0019_002.mtx 3 253.283 0.103698 1.36486 
../gentests/RandomBase5_19/b5_10_0019_003.mtx 3 249.332 0.100593 1.43662 
../gentests/RandomBase5_19/b5_10_0019_004.mtx 3 238.199 0.111962 1.51515 
../gentests/RandomBase5_19/b5_10_0019_005.mtx 3 202.383 0.136388 1.72414 
../gentests/RandomBase5_19/b5_10_0019_006.mtx 3 256.86 0.0969719 1.38356 
../gentests/RandomBase5_19/b5_10_0019_007.mtx 3 257.481 0.091886 1.40278 
../gentests/RandomBase5_19/b5_10_0019_008.mtx 3 275.864 0.0934809 1.14773 
../gentests/RandomBase5_19/b5_10_0019_009.mtx 3 237.196 0.113545 1.47059 
../gentests/RandomBase5_19/b5_10_0019_010.mtx 3 192.843 0.144457 2.12766 
../gentests/RandomBase5_19/b5_10_0019_011.mtx 3 135.172 0.205263 3.64286 
../gentests/RandomBase5_19/b5_10_0019_012.mtx 3 284.177 0.0892317 1.1954 
../gentests/RandomBase5_19/b5_10_0019_013.mtx 3 239.769 0.111312 1.50746 
../gentests/RandomBase5_19/b5_10_0019_014.mtx 3 248.221 0.102932 1.42857 
../gentests/RandomBase5_19/b5_10_0019_015.mtx 3 143.881 0.224671 3.15625 
../gentests/RandomBase5_19/b5_10_0019_016.mtx 3 210.432 0.126901 1.87037 
../gentests/RandomBase5_19/b5_10_0019_017.mtx 3 127.508 0.241498 3.92308 
../gentests/RandomBase5_19/b5_10_0019_018.mtx 3 185.666 0.157437 2.17391 
../gentests/RandomBase5_19/b5_10_0019_019.mtx 3 192.604 0.149123 2.14583 
../gentests/RandomBase5_19/b5_10_0019_020.mtx 3 206.221 0.141498 1.94231 
../gentests/RandomBase5_19/b5_10_0019_021.mtx 3 162.826 0.169231 2.58974 
../gentests/RandomBase5_19/b5_10_0019_022.mtx 3 244.23 0.104077 1.40845 
../gentests/RandomBase5_19/b5_10_0019_023.mtx 3 199.291 0.134008 1.92308 
../gentests/RandomBase5_19/b5_10_0019_024.mtx 3 260.792 0.104251 1.29487 
../gentests/RandomBase5_19/b5_10_0019_025.mtx 3 215.233 0.136657 1.75439 
../gentests/RandomBase5_19/b5_10_0019_026.mtx 3 183.088 0.148055 2.21739 
