Results
Filename spectrum1 spectrum2 spectrum3 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_836.mtx 4:2 6:13 8:77 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_033.mtx 4:3 6:9 8:67 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_823.mtx 4:1 6:12 8:81 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_087.mtx 4:2 6:3 8:94 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_651.mtx 4:1 6:6 8:72 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_990.mtx 4:4 6:10 8:89 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_547.mtx 6:10 8:80 10:674 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_390.mtx 4:1 6:10 8:64 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_123.mtx 4:2 6:5 8:66 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_842.mtx 4:2 6:8 8:108 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_101.mtx 4:2 6:14 8:61 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_521.mtx 6:11 8:79 10:705 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_181.mtx 4:3 6:12 8:98 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_531.mtx 6:9 8:83 10:689 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_602.mtx 4:2 6:6 8:79 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_387.mtx 6:12 8:81 10:735 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_445.mtx 4:2 6:10 8:56 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_903.mtx 4:2 6:5 8:66 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_986.mtx 4:2 6:9 8:78 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_508.mtx 4:2 6:9 8:69 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_907.mtx 4:3 6:8 8:74 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_881.mtx 4:2 6:9 8:74 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_165.mtx 4:3 6:12 8:80 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_428.mtx 4:2 6:13 8:75 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_674.mtx 4:2 6:9 8:72 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_272.mtx 4:2 6:9 8:71 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_310.mtx 4:3 6:8 8:72 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_057.mtx 4:1 6:5 8:78 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_655.mtx 4:2 6:10 8:97 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_696.mtx 4:2 6:15 8:79 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_435.mtx 6:11 8:73 10:702 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_641.mtx 4:2 6:9 8:83 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_301.mtx 6:10 8:94 10:645 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_492.mtx 6:12 8:58 10:677 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_441.mtx 6:13 8:90 10:684 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_525.mtx 4:1 6:7 8:76 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_153.mtx 6:14 8:78 10:711 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_287.mtx 4:5 6:8 8:76 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_128.mtx 4:2 6:12 8:91 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_753.mtx 6:7 8:94 10:637 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_666.mtx 4:2 6:8 8:81 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_096.mtx 6:10 8:87 10:650 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_699.mtx 4:1 6:13 8:65 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_268.mtx 4:2 6:10 8:67 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_434.mtx 6:14 8:79 10:636 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_793.mtx 4:2 6:12 8:82 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_759.mtx 4:1 6:9 8:79 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_820.mtx 4:3 6:10 8:95 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_088.mtx 4:1 6:9 8:83 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_180.mtx 4:4 6:14 8:68 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_875.mtx 4:2 6:6 8:74 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_449.mtx 4:1 6:14 8:86 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_091.mtx 4:3 6:22 8:86 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_513.mtx 4:4 6:7 8:78 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_051.mtx 4:1 6:9 8:76 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_885.mtx 4:3 6:12 8:72 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_812.mtx 4:1 6:9 8:73 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_423.mtx 4:4 6:7 8:93 
/home/antonkov/masterWork/spectrumSources/../gentests/RandomBase5_19/b5_10_0019_868.mtx 4:4 6:6 8:85 
