Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/467.mtx 4:21 6:100 8:719 10:4700 12:32980 14:243773 16:1824224 18:13910385 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/907.mtx 4:22 6:113 8:716 10:5029 12:36185 14:268181 16:2039167 18:15767310 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/022.mtx 4:30 6:86 8:577 10:3676 12:25237 14:177894 16:1277233 18:9292897 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/426.mtx 4:16 6:130 8:764 10:5055 12:37038 14:276911 16:2118630 18:16443548 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/012.mtx 4:32 6:129 8:992 10:6454 12:51241 14:400432 16:3245412 18:26539535 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/632.mtx 4:21 6:101 8:626 10:4031 12:28404 14:202149 16:1479554 18:10974910 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/227.mtx 4:14 6:73 8:461 10:2455 12:15642 14:102152 16:673209 18:4532226 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/899.mtx 4:9 6:109 8:543 10:3145 12:21617 14:147050 16:1024432 18:7266776 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/705.mtx 4:17 6:100 8:642 10:3978 12:27677 14:196669 16:1432241 18:10590583 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/668.mtx 4:28 6:94 8:687 10:4703 12:33381 14:246117 16:1840980 18:14046903 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/087.mtx 4:22 6:98 8:742 10:4561 12:33914 14:245057 16:1849918 18:14093027 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/640.mtx 4:21 6:118 8:824 10:5588 12:41454 14:314398 16:2451660 18:19363880 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/998.mtx 4:20 6:139 8:782 10:5761 12:42937 14:327172 16:2560043 18:20349712 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/948.mtx 4:27 6:155 8:1168 10:8721 12:71493 14:592572 16:5057242 18:43753113 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/608.mtx 4:26 6:117 8:802 10:5689 12:41739 14:319813 16:2491927 18:19744606 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/863.mtx 4:16 6:88 8:577 10:3447 12:23097 14:159264 16:1127122 18:8082743 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/927.mtx 4:14 6:91 8:570 10:3320 12:22185 14:152968 16:1072932 18:7650152 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/332.mtx 4:24 6:111 8:933 10:6038 12:46460 14:358370 16:2845011 18:22905317 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/824.mtx 4:22 6:109 8:604 10:4010 12:28115 14:200808 16:1466219 18:10866393 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/324.mtx 4:23 6:153 8:1212 10:8768 12:70892 14:591090 16:5039758 18:43611643 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/082.mtx 4:25 6:117 8:798 10:5435 12:40555 14:306309 16:2383037 18:18739631 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/377.mtx 4:16 6:92 8:525 10:3011 12:20446 14:137972 16:955979 18:6701137 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/641.mtx 4:16 6:103 8:558 10:3720 12:24525 14:172226 16:1231691 18:8924126 
