Results
Filename SNR Time(ms) BER% FER%
../gentests/MarkMtx5/b5_10_0000_000.mtx 1 56.307 6.12368 61.5 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.1 50.802 5.33684 56 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.2 50.3598 4.91053 50.5 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.3 59.5925 4.44386 47.6667 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.4 57.9183 3.8807 42.3333 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.5 57.4013 3.46316 39 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.6 53.1215 3.02807 33.6667 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.7 56.0556 2.7 31 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.8 53.8868 2.28421 26.75 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.9 57.9199 1.74 21.4 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2 62.8104 1.63596 19.5 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.1 67.0069 1.25263 15.8571 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.2 69.5374 1.18553 14.375 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.3 72.0456 0.902339 11.5556 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.4 78.4036 0.764115 10 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.5 83.5177 0.617004 8.07692 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.6 96.2833 0.459133 6 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.7 112.653 0.338095 4.90476 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.8 132.608 0.268226 3.7037 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.9 151.452 0.242584 3.06061 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3 161.061 0.204571 2.65789 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.1 211.894 0.112823 1.81818 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.2 243.041 0.0877709 1.47059 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.3 263.392 0.0732179 1.27848 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.4 298.068 0.0635377 1.03093 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.5 357.835 0.0464625 0.836066 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.6 411.174 0.0356302 0.657895 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.7 457.13 0.028032 0.548913 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.8 501.88 0.0202765 0.465438 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.9 565.108 0.0151267 0.374074 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4 637.979 0.0111216 0.297619 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.1 675.199 0.00758002 0.254453 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.2 742.29 0.00529605 0.208333 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.3 743.551 0.006154 0.194553 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.4 867.382 0.00368421 0.151515 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.5 874.552 0.00340116 0.142653 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.6 985.973 0.00235601 0.115075 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.7 998.135 0.00182208 0.107181 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.8 1113.41 0.00154963 0.0884173 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.9 1238.06 0.00123222 0.0738552 
../gentests/MarkMtx5/b5_10_0000_000.mtx 5 1274.08 0.00114416 0.0679348 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1 47.3948 6.06579 57.5 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.1 47.28 5.46053 53 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.2 55.0182 5.33333 51 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.3 54.6069 4.7386 47.3333 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.4 53.5121 4.0807 41.3333 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.5 52.5226 3.61754 36.6667 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.6 57.6432 2.88816 30 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.7 53.496 2.49737 26 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.8 56.3687 1.89579 20.6 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.9 62.2619 1.78596 19 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2 64.7097 1.43383 16.4286 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.1 68.6598 1.29013 14.375 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.2 71.2011 1.0386 11.5556 
