Results
Filename spectrum1 spectrum2 spectrum3 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0036_020.mtx 6:14 8:184 10:1592 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0029_054.mtx 6:24 8:158 10:1650 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0000_084.mtx 4:8 6:26 8:184 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0015_072.mtx 4:2 6:18 8:166 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0002_014.mtx 4:2 6:14 8:176 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0026_081.mtx 4:4 6:24 8:166 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0019_033.mtx 4:6 6:24 8:196 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0013_043.mtx 4:2 6:22 8:206 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0026_024.mtx 6:22 8:160 10:1630 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0019_087.mtx 4:4 6:6 8:194 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0028_012.mtx 6:18 8:166 10:1608 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0005_036.mtx 4:6 6:28 8:166 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0035_045.mtx 4:2 6:12 8:174 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0035_082.mtx 4:6 6:20 8:220 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0008_089.mtx 4:10 6:30 8:218 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0006_082.mtx 4:2 6:30 8:164 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0037_036.mtx 4:8 6:10 8:214 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0024_052.mtx 4:2 6:16 8:220 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0012_015.mtx 4:2 6:18 8:190 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0007_074.mtx 4:2 6:24 8:162 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0026_029.mtx 4:2 6:32 8:222 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0002_038.mtx 4:4 6:14 8:200 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0023_080.mtx 4:2 6:18 8:200 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0016_064.mtx 4:2 6:24 8:180 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0000_094.mtx 4:2 6:18 8:166 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0030_029.mtx 4:2 6:20 8:186 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0017_002.mtx 4:2 6:18 8:172 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0037_067.mtx 6:10 8:212 10:1544 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0022_019.mtx 4:4 6:16 8:188 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0037_069.mtx 4:4 6:14 8:208 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0030_004.mtx 4:2 6:32 8:202 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0037_002.mtx 6:20 8:190 10:1596 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0004_019.mtx 4:4 6:18 8:168 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0017_082.mtx 4:4 6:22 8:200 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0023_098.mtx 4:6 6:28 8:202 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0030_042.mtx 4:8 6:22 8:264 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0028_017.mtx 4:2 6:14 8:210 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0006_071.mtx 4:4 6:26 8:208 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0027_049.mtx 4:2 6:22 8:134 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0013_035.mtx 4:4 6:24 8:206 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0014_089.mtx 4:6 6:24 8:212 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0013_053.mtx 4:4 6:34 8:248 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0014_065.mtx 6:12 8:172 10:1662 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0037_042.mtx 4:4 6:10 8:248 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0006_034.mtx 4:4 6:22 8:204 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0016_073.mtx 4:8 6:24 8:290 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0036_033.mtx 4:4 6:6 8:198 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0010_049.mtx 4:6 6:22 8:234 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0020_014.mtx 4:2 6:8 8:168 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0023_028.mtx 4:4 6:20 8:226 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0010_076.mtx 4:4 6:24 8:190 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0001_037.mtx 4:6 6:40 8:206 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0001_059.mtx 6:12 8:146 10:1710 
/home/antonkov/masterWork/spectrumSources/../gentests/MarkMtx5/b5_10_0030_026.mtx 4:2 6:22 8:236 
