Results
Filename SNR Time(ms) BER% FER%
../gentests/MarkMtx5/b5_10_0000_000.mtx 1 1046.61 6.31979 62.49 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.1 970.022 5.68105 57.47 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.2 932.714 5.13553 52.74 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.3 903.669 4.53953 48.06 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.4 861.672 4.00753 43.11 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.5 819.552 3.494 38.43 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.6 774.172 3.02516 33.85 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.7 709.355 2.60295 29.71 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.8 647.93 2.19474 25.67 
../gentests/MarkMtx5/b5_10_0000_000.mtx 1.9 610.296 1.84058 21.73 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2 569.295 1.54768 18.67 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.1 543.817 1.30458 15.77 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.2 520.892 1.06805 13.32 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.3 505.053 0.865211 11.01 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.4 479.596 0.702895 8.91 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.5 457.906 0.53 7.11 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.6 438.264 0.438158 5.88 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.7 419.699 0.335316 4.79 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.8 411.213 0.272158 3.93 
../gentests/MarkMtx5/b5_10_0000_000.mtx 2.9 393.358 0.218684 3.06 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3 374.963 0.170789 2.41 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.1 358.473 0.112368 1.85 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.2 340.699 0.0929474 1.54 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.3 322.022 0.0757368 1.26 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.4 302.496 0.0623684 1.03 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.5 289.306 0.0432632 0.8 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.6 269.954 0.0320526 0.57 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.7 258.039 0.0267368 0.52 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.8 240.767 0.0169474 0.43 
../gentests/MarkMtx5/b5_10_0000_000.mtx 3.9 216.375 0.0113684 0.32 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4 197.493 0.0129474 0.21 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.1 180.918 0.00473684 0.2 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.2 160.846 0.00231579 0.13 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.3 148.364 0.00352632 0.12 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.4 131.464 0.000947368 0.06 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.5 127.029 0.000789474 0.05 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.6 121.057 0.000789474 0.05 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.7 116.56 0.000789474 0.05 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.8 112.208 0.000789474 0.05 
../gentests/MarkMtx5/b5_10_0000_000.mtx 4.9 108.127 0.000789474 0.05 
../gentests/MarkMtx5/b5_10_0000_000.mtx 5 106.283 0.000947368 0.06 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1 996.904 6.50416 62.37 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.1 956.543 5.84289 57.17 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.2 917.912 5.21016 51.94 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.3 886.408 4.60353 46.86 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.4 847.289 4.05042 41.92 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.5 797.43 3.51232 36.98 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.6 738.778 3.01468 32.49 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.7 669.597 2.54242 27.76 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.8 615.352 2.123 23.57 
../gentests/MarkMtx5/b5_10_0000_001.mtx 1.9 574.546 1.75389 19.55 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2 547.183 1.44874 16.26 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.1 523.319 1.20137 13.59 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.2 495.657 0.969368 11.24 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.3 476.484 0.751158 8.96 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.4 456.697 0.586632 6.99 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.5 434.965 0.458158 5.57 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.6 417.075 0.353368 4.34 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.7 404.83 0.286842 3.49 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.8 380.584 0.210474 2.69 
../gentests/MarkMtx5/b5_10_0000_001.mtx 2.9 363.342 0.162421 2.16 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3 339.874 0.134684 1.73 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.1 311 0.0976316 1.24 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.2 293.546 0.0652105 0.95 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.3 275.105 0.0535789 0.75 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.4 249.247 0.0415789 0.56 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.5 225.235 0.0324737 0.38 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.6 210.442 0.0239474 0.34 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.7 190.658 0.011 0.23 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.8 173.168 0.01 0.15 
../gentests/MarkMtx5/b5_10_0000_001.mtx 3.9 160.544 0.00868421 0.14 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4 150.771 0.0102105 0.12 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.1 134.623 0.00647368 0.07 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.2 127.79 0.00452632 0.06 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.3 119.493 0.00173684 0.03 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.4 114.496 0.00157895 0.03 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.5 109.72 0.00205263 0.04 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.6 104.899 0.000947368 0.03 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.7 100.771 0.000736842 0.02 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.8 94.6948 0.000368421 0.01 
../gentests/MarkMtx5/b5_10_0000_001.mtx 4.9 91.2471 0.000210526 0.01 
../gentests/MarkMtx5/b5_10_0000_001.mtx 5 87.7096 0 0 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1 1007.29 6.24605 61.71 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1.1 956.094 5.62247 56.75 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1.2 921.068 5.02037 51.71 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1.3 892.407 4.47574 46.98 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1.4 856.81 3.95353 42.78 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1.5 813.421 3.43 37.55 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1.6 755.183 2.94911 32.75 
../gentests/MarkMtx5/b5_10_0000_002.mtx 1.7 689.118 2.51321 28.44 
