Results
Filename SNR Time(ms) BER% FER%
../gentests/MarkMtx5/b5_10_0019_099.mtx 0 1349.53 12.4708 94.55 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.1 1313.96 11.9124 92.97 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.2 1305.01 11.3547 90.91 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.3 1294.03 10.7808 88.97 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.4 1281.9 10.1808 86.24 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.5 1259.89 9.56516 83.35 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.6 1242.81 8.92974 79.88 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.7 1208.34 8.32121 76.22 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.8 1149.88 7.65163 71.76 
../gentests/MarkMtx5/b5_10_0019_099.mtx 0.9 1071.85 7.02237 67.53 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1 1011.9 6.42868 63.16 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.1 970.318 5.83358 58.76 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.2 936.243 5.22847 53.48 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.3 903.776 4.65621 48.64 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.4 869.394 4.11389 43.91 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.5 830.853 3.62174 39.42 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.6 780.989 3.11047 34.64 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.7 713.418 2.67237 30.22 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.8 660.209 2.29353 26.19 
../gentests/MarkMtx5/b5_10_0019_099.mtx 1.9 615.357 1.914 22.49 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2 576.882 1.60516 19.03 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.1 548.432 1.32321 16.06 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.2 523.02 1.05537 13.07 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.3 502.412 0.871789 10.88 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.4 477.014 0.697737 8.7 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.5 457.461 0.524947 6.93 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.6 432.144 0.407579 5.36 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.7 411.093 0.320579 4.3 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.8 398.938 0.244158 3.35 
../gentests/MarkMtx5/b5_10_0019_099.mtx 2.9 385.731 0.179737 2.55 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3 366.181 0.134368 1.96 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.1 351.534 0.113947 1.59 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.2 336.443 0.0792105 1.25 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.3 310.628 0.0722105 1.01 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.4 277.296 0.0483158 0.66 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.5 257.717 0.0356316 0.48 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.6 226.675 0.0266842 0.42 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.7 214.675 0.0172632 0.28 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.8 194.636 0.0108421 0.21 
../gentests/MarkMtx5/b5_10_0019_099.mtx 3.9 174.771 0.0111053 0.18 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4 158.251 0.005 0.09 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.1 146.332 0.00431579 0.07 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.2 135.848 0.00273684 0.05 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.3 126.863 0.00142105 0.04 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.4 117.446 0.00226316 0.04 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.5 112.149 0.001 0.03 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.6 103.765 0.000368421 0.01 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.7 101.503 0 0 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.8 95.3728 0 0 
../gentests/MarkMtx5/b5_10_0019_099.mtx 4.9 91.4452 0 0 
../gentests/MarkMtx5/b5_10_0019_099.mtx 5 88.5736 0 0 
